KEGG IDs,ob/ob in the fasting state No.1 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.2 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.3 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.4 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.5 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.6 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.7 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.8 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.9 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.10 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.11 (normalized by mean of WT in the fasting state),ob/ob in the fasting state No.12 (normalized by mean of WT in the fasting state)
C00092,2.63,3.98,3.68,3.94,1.92,3.83,4.06,3.71,5.57,3.45,5.8,7.19
C00085,2.04,3.24,3.13,3.84,2.06,3.57,3.76,3.18,5.06,3.07,4.86,5.77
C00354,3.52,3.41,3.19,2.7,2.3,2.47,2.01,2.57,1.94,3.04,3.74,3.66
C00111,0.45,1.11,0.69,0.41,,0.9,0.91,1.31,1.8,1.98,1,2
C00197,1.21,1.09,0.6,1.21,0.8,1.78,1.16,0.84,0.65,0.97,1.48,1.04
C00631,1.36,1.01,1.3,1.25,0.75,1.4,1.3,1.66,1.12,1.14,1.78,1.42
C00074,1.84,1.57,1.42,1.49,0.92,2.38,1.26,1.41,1.12,1.37,2.23,1.24
C00093,1.1,0.96,1.1,1.32,1.09,1.03,0.93,1.17,1.45,1.47,1.45,1.66
C00103,2.24,2.53,2.93,3.08,2.12,2.58,2.84,2.52,4.05,2.46,4.43,4.58
C00186,0.29,0.26,0.22,0.41,0.3,0.34,0.18,0.27,0.26,0.25,0.27,0.24
C00041,2.3,1.65,1.44,2.55,2.13,2.12,1.71,1.51,1.56,1.48,1.76,1.61
C00025,1.24,1.18,0.99,1.08,0.83,1,1.67,0.93,1.35,0.96,1.56,1.06
C00158,2.95,3.42,3.17,2.01,1.39,2.5,4.18,2.08,1.98,1.81,4.11,2.13
C00042,2.18,1.72,1.67,1.87,1.58,1.77,1.48,1.65,1.55,1.8,1.68,2.18
C00122,1.31,1.49,1.16,1.2,0.72,1.39,1.19,1.51,1.98,1.14,1.7,0.99
C00711,1.11,1.27,1.07,1.47,0.93,1.68,1.08,1.32,2.15,1.02,1.6,1.01
C00024,0.22,,0.07,,0.38,,,0.05,,0.07,0.07,0.39
C00002,8.34,7.51,7.33,4.86,3.89,5.16,5.35,5.41,3.01,6.18,8.9,6.46
C00008,1.73,1.5,1.95,1.38,1.42,1.42,1.76,1.12,0.99,1.4,2.06,1.99
C00020,0.92,0.76,1,0.75,0.86,0.73,1.05,0.69,0.84,0.98,1.03,1.83
C00004,1.02,1.37,1.22,1.64,2.12,1.75,0.87,1.44,1.26,1.46,2.17,1.72
C00003,1.37,1.11,1.29,0.82,0.85,0.77,1.14,0.91,0.84,1.17,1.41,1.42
C00044,3.46,2.65,2.7,2.17,1.2,1.89,2.74,1.84,1.05,2.57,3.61,2.65
C00035,0.91,0.85,0.97,0.81,0.64,0.6,1.22,0.56,0.35,1.11,1.28,1.35
C00016,0.97,0.67,0.71,0.39,0.43,0.39,0.65,0.46,0.39,0.63,0.66,0.84
C00123,1.19,0.89,0.88,1.15,1.25,1.04,0.91,1.21,1.75,1.57,2.18,2.98
C00079,1.54,1.22,1.26,1.6,1.66,1.37,1.29,1.44,1.71,1.73,2.78,2.62
14751,2.07,2.64,2.38,2.6,2.08,2.37,2.11,2.42,2.08,2.28,2.23,2.22
14121,2.17,2.33,2.52,2.52,2.39,2.43,2.28,2.09,2.49,2.01,1.92,2.38
18648,1.83,1.54,1.64,1.72,1.81,1.7,1.54,1.29,1.59,1.45,1.55,1.69
13806,1.94,2.22,2,2.11,1.78,2.06,1.86,1.89,1.97,1.77,1.76,1.93
14555,2.42,2.33,2.2,2.41,2.43,2.23,2.17,2.13,1.87,2.36,2.21,2.47
66681,1.25,1.39,1.11,1.29,1.26,1.29,1.43,1.05,1.12,1.22,1.22,1.37
18770,3.62,4.7,4.27,4.29,3.67,4.06,3.68,4,3.44,3.86,3.87,4.3
18563,1.69,1.51,1.37,1.49,1.47,1.38,1.4,1.3,1.44,1.46,1.38,1.66
18534,0.6,0.51,0.58,0.71,0.69,0.6,0.68,0.48,0.74,0.57,0.61,0.66
16828,1.6,1.79,1.55,1.75,1.7,1.7,1.8,1.58,1.68,1.89,1.68,1.91
12974,1.34,1.33,1.22,1.39,1.41,1.27,1.44,1.28,1.34,1.53,1.38,1.59
66945,1.17,1.05,0.94,1.04,1.12,1.06,1.05,0.9,1.1,1.04,0.99,1.31
67680,1.05,0.97,0.87,0.94,1.08,0.89,0.99,0.75,0.98,0.91,0.85,1.23
14194,0.95,0.95,0.92,1.03,1.06,0.93,1.01,0.8,1.12,1,0.83,1.14
17448,1.15,1.09,0.96,1.15,1.14,1.05,1.11,0.92,1.21,1.08,1.01,1.23