KEGG IDs,WT in the fasting state No.1 (normalized by mean of WT in the fasting state),WT in the fasting state No.2 (normalized by mean of WT in the fasting state),WT in the fasting state No.3 (normalized by mean of WT in the fasting state),WT in the fasting state No.4 (normalized by mean of WT in the fasting state),WT in the fasting state No.5 (normalized by mean of WT in the fasting state),WT in the fasting state No.6 (normalized by mean of WT in the fasting state),WT in the fasting state No.7 (normalized by mean of WT in the fasting state),WT in the fasting state No.8 (normalized by mean of WT in the fasting state),WT in the fasting state No.9 (normalized by mean of WT in the fasting state),WT in the fasting state No.10 (normalized by mean of WT in the fasting state),WT in the fasting state No.11 (normalized by mean of WT in the fasting state)
C00092,1.42,0.52,0.52,1.04,0.8,0.38,0.47,1.34,1,2.37,1.14
C00085,1.12,0.65,0.58,1.08,0.8,0.4,0.33,1.53,1.41,2.18,0.92
C00354,0.96,0.98,1.18,1.47,1.01,0.93,0.74,0.86,0.55,1.22,1.11
C00111,,,0.71,,,1.29,,,,,
C00197,0.62,1.11,0.63,0.63,0.82,0.52,0.54,1.17,1.38,1.21,2.38
C00631,0.77,0.26,0.79,0.73,,0.8,,1.55,0.43,1.35,2.33
C00074,0.62,1.37,0.56,0.73,0.77,0.63,0.53,1.52,1.19,1.18,1.9
C00093,1.21,0.97,0.92,1.24,1.07,0.98,0.99,0.9,0.7,1.12,0.9
C00103,1.17,0.79,0.67,1.56,0.74,0.44,0.41,1.08,1.15,2.19,0.81
C00186,0.91,0.93,0.91,0.97,1.19,1.19,0.85,1.14,0.93,0.97,1
C00041,1.06,1.25,0.71,0.97,1.22,1.04,0.83,0.82,0.86,1.19,1.05
C00025,1.15,1.27,1.02,1.43,0.85,1.01,0.79,0.78,0.71,1.32,0.68
C00158,0.95,0.97,0.95,0.94,1.32,0.99,0.78,1.04,0.63,1.22,1.2
C00042,1.06,1.16,0.74,1.04,1.04,1.07,1.03,1.04,1.03,0.95,0.84
C00122,0.88,1.03,0.63,0.6,1.05,1.03,1.23,1.22,0.9,1.01,1.42
C00711,0.77,1.33,0.67,0.63,1.03,0.9,1.16,1.14,1.06,0.89,1.41
C00024,1.8,1.09,0.77,1.53,0.83,0.55,1.26,0.29,0.14,0.97,1.77
C00002,0.87,0.62,1.07,1.29,1.19,0.75,0.58,1.02,0.42,1.72,1.47
C00008,0.98,1.03,1.13,1.13,1.15,0.8,0.67,0.99,0.63,1.23,1.26
C00020,1.04,1.26,1,1.33,1.06,1.15,1.09,0.79,0.67,0.75,0.86
C00004,1.09,2.35,0.73,0.9,0.8,0.79,0.49,1.34,1.55,0.76,0.19
C00003,1.13,1.28,1.07,1.32,1.02,0.83,0.89,0.82,0.62,1.01,1.02
C00044,0.49,1.34,1.04,1.33,1.22,0.59,0.33,0.85,0.75,1.57,1.5
C00035,1.09,1.01,1.24,1.34,1.16,0.94,0.69,0.84,0.45,1.09,1.15
C00016,1.02,1.05,1.08,1.34,1.15,0.98,0.88,0.75,0.44,1.12,1.2
C00123,0.85,1.56,0.91,1.41,0.77,0.75,0.83,0.78,0.8,1.07,1.27
C00079,0.9,1.53,0.87,1.39,0.93,0.77,0.84,0.8,0.84,1.02,1.1
14751,0.91,1.19,0.75,0.97,1.23,0.96,0.99,1.17,0.86,0.97,1
14121,0.93,0.99,0.86,0.94,1.14,1,1,1.12,1.01,0.92,1.09
18648,0.95,0.95,0.75,0.94,1.19,1.03,1.03,1.15,1.01,1,1.01
13806,0.93,0.99,0.78,0.95,1.19,1.07,1.01,1.11,0.97,0.98,1.02
14555,1.02,0.78,0.76,1.07,1.1,1.05,0.92,1.24,1.07,0.91,1.07
66681,0.99,0.99,0.81,0.98,1.04,1.04,1.04,1.09,1.05,0.89,1.08
18770,1.04,0.8,0.92,0.84,1.21,0.93,1.2,1.13,0.94,0.95,1.05
18563,0.92,1.23,0.86,0.93,1.08,1.02,1.01,1.06,0.92,0.93,1.03
18534,0.91,1.18,0.74,1.11,1.05,0.96,0.95,1.03,0.96,1.04,1.07
16828,0.9,1.12,0.9,1,1.12,1,0.92,1.01,0.93,1.05,1.03
12974,0.92,0.96,0.86,1.02,1.17,1.03,0.98,1.03,0.97,0.99,1.07
66945,1.1,1.12,0.79,1.02,1.18,0.96,0.88,1.18,0.9,0.97,0.91
67680,0.93,1.05,0.79,1.07,1.16,0.93,0.98,1.15,0.94,1,1
14194,0.93,1.2,0.87,0.96,1.07,1,0.91,1.08,0.99,0.99,1
17448,0.97,1.06,0.82,1.01,1.14,0.98,0.96,1.06,0.99,0.97,1.03